medio_pago;descripcion
1;DEPOSITO EN CUENTA
2;GIRO
3;TRANSFERENCIA DE FONDOS
4;ORDEN DE PAGO
5;TARJETA DE DEBITO
7;"CHEQUES CON LA CLAUSULA DE ""NO NEGOCIABLE"", ""INTRANSFERIBLES"", ""NO A LA ORDEN"" U OTRA EQUIVALENTE, A QUE SE REFIERE EL INCISO G) DEL ARTICULO 5ø DE LA LEY"
8;EFECTIVO, POR OPERACIONES EN LAS QUE NO EXISTE OBLIGACION DE UTILIZAR MEDIO DE PAGO
9;EFECTIVO, EN LOS DEMAS CASOS
10;MEDIOS DE PAGO USADOS EN COMERCIO EXTERIOR
11;DOCUMENTOS EMITIDOS POR LAS EDPYMES Y LAS COOPERATIVAS DE AHORRO Y CREDITO NO AUTORIZADAS A CAPTAR DEPOSITOS DEL PUBLICO
12;TARJETA DE CREDITO EMITIDA EN EL PAIS O EN EL EXTERIOR POR UNA EMPRESA NO PERTENECIENTE AL SISTEMA FINANCIERO, CUYO OBJETO PRINCIPAL SEA LA EMISION Y ADMINISTRACION DE TARJETAS DE CREDITO
13;TARJETAS DE CREDITO EMITIDAS EN EL EXTERIOR POR EMPRESAS BANCARIAS O FINANCIERAS NO DOMICILIADAS
101;TRANSFERENCIAS - COMERCIO EXTERIOR
102;CHEQUES BANCARIOS  - COMERCIO EXTERIOR
103;ORDEN DE PAGO SIMPLE  - COMERCIO EXTERIOR
104;ORDEN DE PAGO DOCUMENTARIO  - COMERCIO EXTERIOR
105;REMESA SIMPLE  - COMERCIO EXTERIOR
106;REMESA DOCUMENTARIA  - COMERCIO EXTERIOR
107;CARTA DE CREDITO SIMPLE  - COMERCIO EXTERIOR
108;CARTA DE CREDITO DOCUMENTARIO  - COMERCIO EXTERIOR
999;OTROS MEDIOS DE PAGO
6;TARJETA DE CREDITO EMITIDA EN EL PAIS POR UNA EMPRESA DEL SISTEMA FINANCIERO
