entidad_financiera;descripcion
1;CENTRAL RESERVA DEL PERU
2;DE CREDITO DEL PERU
3;INTERNACIONAL DEL PERU
5;LATINO
7;CITIBANK DEL PERU
8;STANDARD CHARTERED
9;SCOTIABANK PERU
11;CONTINENTAL
12;DE LIMA
16;MERCANTIL
18;NACION
22;SANTANDER CENTRAL HISPANO
23;DE COMERCIO
25;REPUBLICA
26;NBK BANK
29;BANCOSUR
35;FINANCIERO DEL PERU
37;DEL PROGRESO
38;INTERAMERICANO FINANZAS
39;BANEX
40;NUEVO MUNDO
41;SUDAMERICANO
42;DEL LIBERTADOR
43;DEL TRABAJO
44;SOLVENTA
45;SERBANCO
46;BANK OF BOSTON
47;ORION
48;DEL PAIS
49;MI BANCO
50;BNP PARIBAS
51;AGROBANCO
53;HSBC BANK PERU
54;BANCO FALABELLA
55;BANCO RIPLEY
56;BANCO SANTANDER PERU
58;BANCO AZTECA DEL PERU
99;OTROS
