tipo_comprobante;descripcion
0;Otros
1;Factura
2;Recibo por Honorarios
3;Boleta de Venta
4;Liquidaci¢n de compra
5;Boletos de Transporte Aereo que emiten las Companias de Aviacion Comercial por el servicio de transporte aereo regular de pasajeros, emitido de manera manual, mecanizada o por medios electronicos (BME)
6;Carta de porte aereo por el servicio de transporte de carga aerea
7;Nota de credito
8;Nota de debito
9;Gu¡a de remision - Remitente
10;Recibo por Arrendamiento
11;Poliza emitida por las Bolsas de Valores, Bolsas de Productos o Agentes de Intermediacion por operaciones realizadas en las Bolsas de Valores o Productos o fuera de las mismas, autorizadas por SMV
12;Ticket o cinta emitido por maquina registradora
13;Documentos emitidos por las empresas del sistema financiero y de seguros, y por las cooperativas de ahorro y credito no autorizadas a captar recursos del publico, que se encuentren bajo el control de la Superintendencia de Banca, Seguros y AFP.
14;Recibo por servicios publicos de suministro de energia electrica, agua, telefono, telex y telegraficos y otros servicios complementarios que se incluyan en el recibo de servicio publico
15;Boletos emitidos por el servicio de transporte terrestre regular urbano de pasajeros y el ferroviario publico de pasajeros prestado en via ferrea local.
16;Boletos de viaje emitidos por las empresas de transporte nacional de pasajeros, siempre que cuenten con la autorizaci¢n de la autoridad competente, en las rutas autorizadas. Via terrestre o ferroviario publico no emitido por medios electronicos (BVME)
17;Documento emitido por la Iglesia Catolica por el arrendamiento de bienes inmuebles
18;Documento emitido por las Administradoras Privadas de Fondo de Pensiones que se encuentran bajo la supervision de la Superintendencia de Banca, Seguros y AFP
19;Boleto o entrada por atracciones y espect culos publicos
20;Comprobante de Retencion
21;Conocimiento de embarque por el servicio de transporte de carga maritima
22;Comprobante por Operaciones No Habituales
23;Polizas de Adjudicacion emitidas con ocasion del remate o adjudicacion de bienes por venta forzada, por los martilleros o las entidades que rematen o subasten bienes por cuenta de terceros
24;Certificado de pago de regalias emitidas por PERUPETRO S.A
25;Documento de Atribucion (Ley del Impuesto General a las Ventas e Impuesto Selectivo al Consumo, Art. 19§, ultimo parrafo, R.S. Nø 022-98-SUNAT).
26;Recibo por el Pago de la Tarifa por Uso de Agua Superficial con fines agrarios y por el pago de la Cuota para la ejecucion de una determinada obra o actividad acordada por la Asamblea General de la Comision de Regantes o Resolucion expedida por el Jefe de la Unidad de Aguas y de Riego (Decreto Supremo Nø 003-90-AG, Arts. 28 y 48)
27;Seguro Complementario de Trabajo de Riesgo
28;Documentos emitidos por los servicios aeroportuarios prestados a favor de los pasajeros, mediante mecanismo de etiquetas autoadhesivas.
29;Documentos emitidos por la COFOPRI en calidad de oferta de venta de terrenos, los correspondientes a las subastas publicas y a la retribucion de los servicios que presta
30;Documentos emitidos por las empresas que desempenan el rol adquirente en los sistemas de pago mediante tarjetas de credito y debito, emitidas por bancos e instituciones financieras o crediticias, domiciliados o no en el pais.
31;Gu¡a de Remision - Transportista
32;Documentos emitidos por las empresas recaudadoras de la denominada Garantia de Red Principal a la que hace referencia el numeral 7.6 del art¡culo 7ø de la Ley Nø 27133 - Ley de Promocion del Desarrollo de la Industria del Gas Natural
33;Manifiesto de Pasajeros
34;Documento del Operador
35;Documento del Participe
36;Recibo de Distribucion de Gas Natural
37;Documentos que emitan los concesionarios del servicio de revisiones tecnicas vehiculares, por la prestacion de dicho servicio
40;Comprobante de Percepcion
41;Comprobante de Percepcion - Venta interna
42;Documentos emitidos por las empresas que desempenan el rol adquiriente en los sistemas de pago mediante tarjetas de credito emitidas por ellas mismas
43;Boletos emitidos por las Companias de Aviacion Comercial que prestan servicios de transporte aereo no regular de pasajeros y transporte aereo especial de pasajeros.
44;Billetes de loteria, rifas y apuestas. 
45;Documentos emitidos por centros educativos y culturales, universidades, asociaciones y fundaciones, en lo referente a actividades no gravadas con tributos administrados por la SUNAT.
46;Formulario de Declaracion - pago o Boleta de pago de tributos Internos
48;Comprobante de Operaciones - Ley Nø 29972
49;Constancia de Deposito - IVAP (Ley 28211)
50;Declaraci¢n Unica de Aduanas - Importacion definitiva
51;Poliza o DUI Fraccionada
52;Despacho Simplificado - Importacion Simplificada
53;Declaracion de Mensajeria o Courier
54;Liquidacion de Cobranza
55;BVME para transporte ferroviario de pasajeros
56;Comprobante de pago SEAE
87;Nota de Credito Especial
88;Nota de Debito Especial
89;Nota de Ajuste de Operaciones - Ley Nø 29972
91;Comprobante de No Domiciliado
96;Exceso de credito fiscal por retiro de bienes
97;Nota de Credito - No Domiciliado
98;Nota de Debito - No Domiciliado
