codigo_aduana;descripcion
19;TUMBES
28;TALARA
46;PAITA
55;CHICLAYO
82;SALAVERRY
91;CHIMBOTE
118;MARÖTIMA DEL CALLAO
127;PISCO
145;MOLLENDO MATARANI
154;AREQUIPA
163;ILO
172;TACNA
181;PUNO
190;CUZCO
217;PUCALLPA
226;IQUITOS
244;POSTAL DE LIMA
262;DESAGUADERO
271;TARAPOTO
280;PUERTO MALDONADO
299;LA TINA
884;DEPENDENCIA FERROVIARIA TACNA
893;DEPENDENCIA POSTAL TACNA
910;DEPENDENCIA POSTAL AREQUIPA
929;COMPLEJO FRONTERIZO STA ROSA TACNA
938;TERMINAL TERRESTRE TACNA
947;AEROPUERTO TACNA
956;CETICOS TACNA
965;DEPENDENCIA POSTAL DE SALAVERRY
235;AEREA DEL CALLAO
