tipo_operacion;descripcion
1;VENTA NACIONAL
2;COMPRA NACIONAL
3;CONSIGNACION RECIBIDA
4;CONSIGNACION ENTREGADA
5;DEVOLUCION RECIBIDA
6;DEVOLUCION ENTREGADA
7;BONIFICACION
8;PREMIO
9;DONACION
10;SALIDA A PRODUCCION
11;SALIDA POR TRANSFERENCIA ENTRE ALMACENES
12;RETIRO
13;MERMAS
14;DESMEDROS
15;DESTRUCCION
16;SALDO INICIAL
17;EXPORTACION
18;IMPORTACION
19;ENTRADA DE PRODUCCION
20;ENTRADA POR DEVOLUCION DE PRODUCCION
21;ENTRADA POR TRANSFERENCIA ENTRE ALMACENES
22;ENTRADA POR IDENTIFICACION ERRONEA
23;SALIDA POR IDENTIFICACION ERRONEA
24;ENTRADA POR DEVOLUCION DEL CLIENTE
25;SALIDA POR DEVOLUCION AL PROVEEDOR
26;ENTRADA PARA SERVICIO DE PRODUCCION
27;SALIDA POR SERVICIO DE PRODUCCION
28;AJUSTE POR DIFERENCIA DE INVENTARIO
29;ENTRADA DE BIENES EN PRESTAMO
30;SALIDA DE BIENES EN PRESTAMO
31;ENTRADA DE BIENES EN CUSTODIA
32;SALIDA DE BIENES EN CUSTODIA
33;MUESTRAS MEDICAS
34;PUBLICIDAD
35;GASTOS DE REPRESENTACION
36;RETIRO PARA ENTREGA A TRABAJADORES
37;RETIRO POR CONVENIO COLECTIVO
38;RETIRO POR SUSTITUCION DE BIEN SINIESTRADO
91;OTROS 1
92;OTROS 2
93;OTROS 3
94;OTROS 4
95;OTROS 5
96;OTROS 6
97;OTROS 7
98;OTROS 8
99;OTROS
