tipo_titulo;descripcion
1;VALORES EMITIDOS O GARANTIZADOS POR EL ESTADO
2;VALORES EMITIDOS O GARANTIZADOS POR EL SISTEMA FINANCIERO
3;VALORES EMITIDOS POR LA EMPRESA
4;OTROS INSTRUMENTOS FINANCIEROS REPRESENTATIVOS DE DEUDA
5;CERTIFICADOS DE SUSCRIPCION PREFERENTE
6;ACCIONES REPRESENTATIVAS DE CAPITAL SOCIAL
7;ACCIONES DE INVERSION
8;CERTIFICADO DE PARTICIPACION DE FONDOS
9;ASOCIACIONES EN PARTICIPACION Y CONSORCIOS
10;OTROS INSTRUMENTOS FINANCIEROS REPRESENTATIVOS DE DERECHO PATRIMONIAL
99;OTROS TITULOS
